class_label,k,support,support_frac,items,items_readable,items_list,has_tag,has_token,mixed
amenity:bank,3,46,1.0,amenity_bank|bank_islamabad|islamabad,"amenity_bank, bank_islamabad, islamabad","['amenity_bank', 'bank_islamabad', 'islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity_bank|bank_islamabad|tag:amenity=bank,"amenity_bank, bank_islamabad, tag:amenity=bank","['amenity_bank', 'bank_islamabad', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,amenity_bank|bank|bank_islamabad,"amenity_bank, bank, bank_islamabad","['amenity_bank', 'bank', 'bank_islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity_bank|bank|islamabad,"amenity_bank, bank, islamabad","['amenity_bank', 'bank', 'islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity_bank|bank|tag:amenity=bank,"amenity_bank, bank, tag:amenity=bank","['amenity_bank', 'bank', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,amenity_bank|islamabad|tag:amenity=bank,"amenity_bank, islamabad, tag:amenity=bank","['amenity_bank', 'islamabad', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,amenity|amenity_bank|bank,"amenity, amenity_bank, bank","['amenity', 'amenity_bank', 'bank']",False,True,False
amenity:bank,3,46,1.0,amenity|amenity_bank|bank_islamabad,"amenity, amenity_bank, bank_islamabad","['amenity', 'amenity_bank', 'bank_islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity|amenity_bank|islamabad,"amenity, amenity_bank, islamabad","['amenity', 'amenity_bank', 'islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity|amenity_bank|tag:amenity=bank,"amenity, amenity_bank, tag:amenity=bank","['amenity', 'amenity_bank', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,amenity|bank_islamabad|islamabad,"amenity, bank_islamabad, islamabad","['amenity', 'bank_islamabad', 'islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity|bank_islamabad|tag:amenity=bank,"amenity, bank_islamabad, tag:amenity=bank","['amenity', 'bank_islamabad', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,amenity|bank|bank_islamabad,"amenity, bank, bank_islamabad","['amenity', 'bank', 'bank_islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity|bank|islamabad,"amenity, bank, islamabad","['amenity', 'bank', 'islamabad']",False,True,False
amenity:bank,3,46,1.0,amenity|bank|tag:amenity=bank,"amenity, bank, tag:amenity=bank","['amenity', 'bank', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,amenity|islamabad|tag:amenity=bank,"amenity, islamabad, tag:amenity=bank","['amenity', 'islamabad', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,bank_islamabad|islamabad|tag:amenity=bank,"bank_islamabad, islamabad, tag:amenity=bank","['bank_islamabad', 'islamabad', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,bank|bank_islamabad|islamabad,"bank, bank_islamabad, islamabad","['bank', 'bank_islamabad', 'islamabad']",False,True,False
amenity:bank,3,46,1.0,bank|bank_islamabad|tag:amenity=bank,"bank, bank_islamabad, tag:amenity=bank","['bank', 'bank_islamabad', 'tag:amenity=bank']",True,True,True
amenity:bank,3,46,1.0,bank|islamabad|tag:amenity=bank,"bank, islamabad, tag:amenity=bank","['bank', 'islamabad', 'tag:amenity=bank']",True,True,True
amenity:bank,3,32,0.695652,amenity_bank|bank_islamabad|آباد,"amenity_bank, bank_islamabad, آباد","['amenity_bank', 'bank_islamabad', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|bank_islamabad|اسلام,"amenity_bank, bank_islamabad, اسلام","['amenity_bank', 'bank_islamabad', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|bank_islamabad|اسلام_آباد,"amenity_bank, bank_islamabad, اسلام_آباد","['amenity_bank', 'bank_islamabad', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|bank|آباد,"amenity_bank, bank, آباد","['amenity_bank', 'bank', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|bank|اسلام,"amenity_bank, bank, اسلام","['amenity_bank', 'bank', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|bank|اسلام_آباد,"amenity_bank, bank, اسلام_آباد","['amenity_bank', 'bank', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|islamabad|آباد,"amenity_bank, islamabad, آباد","['amenity_bank', 'islamabad', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|islamabad|اسلام,"amenity_bank, islamabad, اسلام","['amenity_bank', 'islamabad', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|islamabad|اسلام_آباد,"amenity_bank, islamabad, اسلام_آباد","['amenity_bank', 'islamabad', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|tag:amenity=bank|آباد,"amenity_bank, tag:amenity=bank, آباد","['amenity_bank', 'tag:amenity=bank', 'آباد']",True,True,True
amenity:bank,3,32,0.695652,amenity_bank|tag:amenity=bank|اسلام,"amenity_bank, tag:amenity=bank, اسلام","['amenity_bank', 'tag:amenity=bank', 'اسلام']",True,True,True
amenity:bank,3,32,0.695652,amenity_bank|tag:amenity=bank|اسلام_آباد,"amenity_bank, tag:amenity=bank, اسلام_آباد","['amenity_bank', 'tag:amenity=bank', 'اسلام_آباد']",True,True,True
amenity:bank,3,32,0.695652,amenity_bank|آباد|اسلام,"amenity_bank, آباد, اسلام","['amenity_bank', 'آباد', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|آباد|اسلام_آباد,"amenity_bank, آباد, اسلام_آباد","['amenity_bank', 'آباد', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity_bank|اسلام|اسلام_آباد,"amenity_bank, اسلام, اسلام_آباد","['amenity_bank', 'اسلام', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|amenity_bank|آباد,"amenity, amenity_bank, آباد","['amenity', 'amenity_bank', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|amenity_bank|اسلام,"amenity, amenity_bank, اسلام","['amenity', 'amenity_bank', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity|amenity_bank|اسلام_آباد,"amenity, amenity_bank, اسلام_آباد","['amenity', 'amenity_bank', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|bank_islamabad|آباد,"amenity, bank_islamabad, آباد","['amenity', 'bank_islamabad', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|bank_islamabad|اسلام,"amenity, bank_islamabad, اسلام","['amenity', 'bank_islamabad', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity|bank_islamabad|اسلام_آباد,"amenity, bank_islamabad, اسلام_آباد","['amenity', 'bank_islamabad', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|bank|آباد,"amenity, bank, آباد","['amenity', 'bank', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|bank|اسلام,"amenity, bank, اسلام","['amenity', 'bank', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity|bank|اسلام_آباد,"amenity, bank, اسلام_آباد","['amenity', 'bank', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|islamabad|آباد,"amenity, islamabad, آباد","['amenity', 'islamabad', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|islamabad|اسلام,"amenity, islamabad, اسلام","['amenity', 'islamabad', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity|islamabad|اسلام_آباد,"amenity, islamabad, اسلام_آباد","['amenity', 'islamabad', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|tag:amenity=bank|آباد,"amenity, tag:amenity=bank, آباد","['amenity', 'tag:amenity=bank', 'آباد']",True,True,True
amenity:bank,3,32,0.695652,amenity|tag:amenity=bank|اسلام,"amenity, tag:amenity=bank, اسلام","['amenity', 'tag:amenity=bank', 'اسلام']",True,True,True
amenity:bank,3,32,0.695652,amenity|tag:amenity=bank|اسلام_آباد,"amenity, tag:amenity=bank, اسلام_آباد","['amenity', 'tag:amenity=bank', 'اسلام_آباد']",True,True,True
amenity:bank,3,32,0.695652,amenity|آباد|اسلام,"amenity, آباد, اسلام","['amenity', 'آباد', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,amenity|آباد|اسلام_آباد,"amenity, آباد, اسلام_آباد","['amenity', 'آباد', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,amenity|اسلام|اسلام_آباد,"amenity, اسلام, اسلام_آباد","['amenity', 'اسلام', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,bank_islamabad|islamabad|آباد,"bank_islamabad, islamabad, آباد","['bank_islamabad', 'islamabad', 'آباد']",False,True,False
amenity:bank,3,32,0.695652,bank_islamabad|islamabad|اسلام,"bank_islamabad, islamabad, اسلام","['bank_islamabad', 'islamabad', 'اسلام']",False,True,False
amenity:bank,3,32,0.695652,bank_islamabad|islamabad|اسلام_آباد,"bank_islamabad, islamabad, اسلام_آباد","['bank_islamabad', 'islamabad', 'اسلام_آباد']",False,True,False
amenity:bank,3,32,0.695652,bank_islamabad|tag:amenity=bank|آباد,"bank_islamabad, tag:amenity=bank, آباد","['bank_islamabad', 'tag:amenity=bank', 'آباد']",True,True,True
amenity:bank,3,32,0.695652,bank_islamabad|tag:amenity=bank|اسلام,"bank_islamabad, tag:amenity=bank, اسلام","['bank_islamabad', 'tag:amenity=bank', 'اسلام']",True,True,True
amenity:bank,3,32,0.695652,bank_islamabad|tag:amenity=bank|اسلام_آباد,"bank_islamabad, tag:amenity=bank, اسلام_آباد","['bank_islamabad', 'tag:amenity=bank', 'اسلام_آباد']",True,True,True
